	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
final_contigs_AG-910-A04_AG-910-A04_NODE_3_46	final_contigs_AG-910-A04	AG-910-A04_NODE_3	46	44652	46178	1	D										Mur ligase middle domain [PF08245.16]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_3_47	final_contigs_AG-910-A04	AG-910-A04_NODE_3	47	46184	47260	1	C	K01921	D-alanine-D-alanine ligase [EC:6.3.2.4]								D-ala D-ala ligase N-terminus [PF01820.25]; D-ala D-ala ligase C-terminus [PF07478.17]; ATP-grasp domain [PF02655.18]; RimK-like ATP-grasp domain [PF08443.15]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_3_48	final_contigs_AG-910-A04	AG-910-A04_NODE_3	48	47264	47896	1	D										Haloacid dehalogenase-like hydrolase [PF13419.10]; haloacid dehalogenase-like hydrolase [PF00702.30]; haloacid dehalogenase-like hydrolase [PF12710.11]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_3_49	final_contigs_AG-910-A04	AG-910-A04_NODE_3	49	47950	48399	-1	C	K00540	F420H(2)-dependent quinone reductase [EC:1.1.98.-]								F420H(2)-dependent quinone reductase [PF04075.18]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_3_50	final_contigs_AG-910-A04	AG-910-A04_NODE_3	50	48369	49565	-1	D										FAD binding domain of DNA photolyase [PF03441.18]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_3_51	final_contigs_AG-910-A04	AG-910-A04_NODE_3	51	49573	49788	-1	D										'Cold-shock' DNA-binding domain [PF00313.26]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_3_52	final_contigs_AG-910-A04	AG-910-A04_NODE_3	52	49788	50024	-1	C	K02902	large subunit ribosomal protein L28								Ribosomal L28 family [PF00830.23]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_3_53	final_contigs_AG-910-A04	AG-910-A04_NODE_3	53	50118	52208	1	C	K03655	ATP-dependent DNA helicase RecG [EC:5.6.2.4]								RecG wedge domain [PF17191.8]; ATP-dependent DNA helicase RecG, domain 3, C-terminal [PF19833.3]; Type III restriction enzyme, res subunit [PF04851.19]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_3_54	final_contigs_AG-910-A04	AG-910-A04_NODE_3	54	52205	52738	1	C	K08316	16S rRNA (guanine966-N2)-methyltransferase [EC:2.1.1.171]								Conserved hypothetical protein 95 [PF03602.19]; S-adenosylmethionine-dependent methyltransferase [PF10672.13]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_3_55	final_contigs_AG-910-A04	AG-910-A04_NODE_3	55	52735	53199	1	C	K00954	pantetheine-phosphate adenylyltransferase [EC:2.7.7.3]								Cytidylyltransferase-like [PF01467.30]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_3_56	final_contigs_AG-910-A04	AG-910-A04_NODE_3	56	53192	53695	1	E															0
final_contigs_AG-910-A04_AG-910-A04_NODE_3_57	final_contigs_AG-910-A04	AG-910-A04_NODE_3	57	53701	54201	1	C	K07040	DUF177 domain-containing protein								Large ribosomal RNA subunit accumulation protein YceD [PF02620.21]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_3_58	final_contigs_AG-910-A04	AG-910-A04_NODE_3	58	54219	54401	1	C	K02911	large subunit ribosomal protein L32								Ribosomal L32p protein family [PF01783.27]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_3_59	final_contigs_AG-910-A04	AG-910-A04_NODE_3	59	54408	55379	1	C	K03621	phosphate acyltransferase [EC:2.3.1.274]								Fatty acid synthesis protein [PF02504.19]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_3_60	final_contigs_AG-910-A04	AG-910-A04_NODE_3	60	55376	56059	1	C	K03685	ribonuclease III [EC:3.1.26.3]								Ribonuclease-III-like [PF14622.10]; Ribonuclease III domain [PF00636.30]; Double-stranded RNA binding motif [PF00035.30]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_3_61	final_contigs_AG-910-A04	AG-910-A04_NODE_3	61	56127	58775	1	C	K03529	chromosome segregation protein								RecF/RecN/SMC N terminal domain [PF02463.23]; AAA domain [PF13476.10]; AAA ATPase domain [PF13175.10]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_3_62	final_contigs_AG-910-A04	AG-910-A04_NODE_3	62	58776	59165	1	C	K01489	cytidine deaminase [EC:3.5.4.5]								Cytidine and deoxycytidylate deaminase zinc-binding region [PF00383.27]; Cytidine and deoxycytidylate deaminase zinc-binding region [PF08211.16]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_3_63	final_contigs_AG-910-A04	AG-910-A04_NODE_3	63	59167	60087	-1	C	K03522	electron transfer flavoprotein alpha subunit								Electron transfer flavoprotein FAD-binding domain [PF00766.23]; Electron transfer flavoprotein domain [PF01012.25]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_3_64	final_contigs_AG-910-A04	AG-910-A04_NODE_3	64	60084	60833	-1	C	K03521	electron transfer flavoprotein beta subunit								Electron transfer flavoprotein domain [PF01012.25]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_3_65	final_contigs_AG-910-A04	AG-910-A04_NODE_3	65	60858	61697	-1	C	K03783	purine-nucleoside phosphorylase [EC:2.4.2.1]								Phosphorylase superfamily [PF01048.24]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_3_66	final_contigs_AG-910-A04	AG-910-A04_NODE_3	66	61694	62365	-1	C	K01839	phosphopentomutase [EC:5.4.2.7]								Metalloenzyme superfamily [PF01676.22]; Type I phosphodiesterase / nucleotide pyrophosphatase [PF01663.26]; Sulfatase [PF00884.27]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_4_1	final_contigs_AG-910-A04	AG-910-A04_NODE_4	1	1	807	1	E															0
final_contigs_AG-910-A04_AG-910-A04_NODE_4_2	final_contigs_AG-910-A04	AG-910-A04_NODE_4	2	937	1599	1	D										Bacteriorhodopsin-like protein [PF01036.22]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_4_3	final_contigs_AG-910-A04	AG-910-A04_NODE_4	3	1671	2189	1	D										Disulfide bond formation protein DsbB [PF02600.20]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_4_4	final_contigs_AG-910-A04	AG-910-A04_NODE_4	4	2182	2784	1	D										Redoxin [PF08534.14]; AhpC/TSA family [PF00578.25]; Thioredoxin-like [PF13905.10]; Thioredoxin-like domain [PF13098.10]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_4_5	final_contigs_AG-910-A04	AG-910-A04_NODE_4	5	2883	3512	-1	D										ubiE/COQ5 methyltransferase family [PF01209.22]; Methyltransferase domain [PF08241.16]; Methyltransferase domain [PF13847.10]; Methyltransferase domain [PF13489.10]; Methyltransferase domain [PF13649.10]; Methyltransferase domain [PF08242.16]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_4_6	final_contigs_AG-910-A04	AG-910-A04_NODE_4	6	3513	5030	-1	C	K02548	1,4-dihydroxy-2-naphthoate polyprenyltransferase [EC:2.5.1.74]								UbiA prenyltransferase family [PF01040.22]; Pyridoxamine 5'-phosphate oxidase [PF01243.24]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_4_7	final_contigs_AG-910-A04	AG-910-A04_NODE_4	7	5111	6865	1	D										ABC transporter [PF00005.31]; ABC transporter transmembrane region [PF00664.27]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_4_8	final_contigs_AG-910-A04	AG-910-A04_NODE_4	8	6894	8594	1	D										ABC transporter [PF00005.31]; ABC transporter transmembrane region [PF00664.27]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_4_9	final_contigs_AG-910-A04	AG-910-A04_NODE_4	9	8581	9411	-1	C	K24451	modification methylase								DNA methylase [PF01555.22]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_4_10	final_contigs_AG-910-A04	AG-910-A04_NODE_4	10	9418	9852	-1	E															0
final_contigs_AG-910-A04_AG-910-A04_NODE_4_11	final_contigs_AG-910-A04	AG-910-A04_NODE_4	11	9934	11343	1	C	K09014	Fe-S cluster assembly protein SufB								SUF system FeS cluster assembly, SufBD [PF01458.21]; SufBD protein N-terminal region [PF19295.3]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_4_12	final_contigs_AG-910-A04	AG-910-A04_NODE_4	12	11360	12529	1	D										SUF system FeS cluster assembly, SufBD [PF01458.21]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_4_13	final_contigs_AG-910-A04	AG-910-A04_NODE_4	13	12519	12833	1	C	K05710	3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin component								Rieske [2Fe-2S] domain [PF00355.30]; Rieske-like [2Fe-2S] domain [PF13806.10]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_4_14	final_contigs_AG-910-A04	AG-910-A04_NODE_4	14	12826	13527	1	C	K09013	Fe-S cluster assembly ATP-binding protein								ABC transporter [PF00005.31]; RecF/RecN/SMC N terminal domain [PF02463.23]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_4_15	final_contigs_AG-910-A04	AG-910-A04_NODE_4	15	13524	14894	1	C	K01679	fumarate hydratase, class II [EC:4.2.1.2]								Lyase [PF00206.24]; Fumarase C C-terminus [PF10415.13]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_4_16	final_contigs_AG-910-A04	AG-910-A04_NODE_4	16	14894	15325	1	C	K01808	ribose 5-phosphate isomerase B [EC:5.3.1.6]								Ribose/Galactose Isomerase [PF02502.22]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_4_17	final_contigs_AG-910-A04	AG-910-A04_NODE_4	17	15326	16249	-1	D										5-hmdU DNA kinase, helical domain [PF18723.5]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_4_18	final_contigs_AG-910-A04	AG-910-A04_NODE_4	18	16203	17126	-1	C	K23536	general nucleoside transport system permease protein								Branched-chain amino acid transport system / permease component [PF02653.20]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_4_19	final_contigs_AG-910-A04	AG-910-A04_NODE_4	19	17119	18177	-1	C	K23535	general nucleoside transport system permease protein								Branched-chain amino acid transport system / permease component [PF02653.20]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_4_20	final_contigs_AG-910-A04	AG-910-A04_NODE_4	20	18170	19666	-1	C	K23537	general nucleoside transport system ATP-binding protein								ABC transporter [PF00005.31]; AAA ATPase domain [PF13175.10]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_4_21	final_contigs_AG-910-A04	AG-910-A04_NODE_4	21	19714	20742	-1	C	K07335	basic membrane protein A and related proteins								ABC transporter substrate-binding protein PnrA-like [PF02608.18]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_4_22	final_contigs_AG-910-A04	AG-910-A04_NODE_4	22	20851	21303	1	D										Phosphoribosyl transferase domain [PF00156.31]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_4_23	final_contigs_AG-910-A04	AG-910-A04_NODE_4	23	21305	21718	-1	C	K02426	cysteine desulfuration protein SufE								Fe-S metabolism associated domain [PF02657.19]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_4_24	final_contigs_AG-910-A04	AG-910-A04_NODE_4	24	21721	22944	-1	C	K11717	cysteine desulfurase / selenocysteine lyase [EC:2.8.1.7 4.4.1.16]								Aminotransferase class-V [PF00266.23]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_4_25	final_contigs_AG-910-A04	AG-910-A04_NODE_4	25	22941	23666	-1	C	K09013	Fe-S cluster assembly ATP-binding protein								ABC transporter [PF00005.31]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_4_26	final_contigs_AG-910-A04	AG-910-A04_NODE_4	26	23742	24863	1	D										Acyl-CoA dehydrogenase, C-terminal domain [PF00441.28]; Acyl-CoA dehydrogenase, N-terminal domain [PF02771.20]; Acyl-CoA dehydrogenase, middle domain [PF02770.23]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_4_27	final_contigs_AG-910-A04	AG-910-A04_NODE_4	27	24919	25071	1	E															0
final_contigs_AG-910-A04_AG-910-A04_NODE_4_28	final_contigs_AG-910-A04	AG-910-A04_NODE_4	28	25064	26020	-1	D										Metallo-beta-lactamase superfamily [PF00753.31]; ODP family beta lactamase [PF19583.3]; Metallo-beta-lactamase-like, C-terminal domain [PF21221.1]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_4_29	final_contigs_AG-910-A04	AG-910-A04_NODE_4	29	26273	27637	1	C	K00382	dihydrolipoyl dehydrogenase [EC:1.8.1.4]								Pyridine nucleotide-disulphide oxidoreductase [PF07992.18]; Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain [PF02852.26]; Pyridine nucleotide-disulphide oxidoreductase [PF00070.31]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_4_30	final_contigs_AG-910-A04	AG-910-A04_NODE_4	30	27637	29643	1	C	K11381	2-oxoisovalerate dehydrogenase E1 component [EC:1.2.4.4]								Dehydrogenase E1 component [PF00676.24]; Transketolase, pyrimidine binding domain [PF02779.28]; Transketolase, C-terminal domain [PF02780.24]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_4_31	final_contigs_AG-910-A04	AG-910-A04_NODE_4	31	29648	30931	1	D										2-oxoacid dehydrogenases acyltransferase (catalytic domain) [PF00198.27]; Biotin-requiring enzyme [PF00364.26]; e3 binding domain [PF02817.21]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_4_32	final_contigs_AG-910-A04	AG-910-A04_NODE_4	32	30928	32556	1	C	K03644	lipoyl synthase [EC:2.8.1.8]								N-terminal domain of lipoyl synthase of Radical_SAM family [PF16881.9]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_4_33	final_contigs_AG-910-A04	AG-910-A04_NODE_4	33	32578	34491	1	C	K00615	transketolase [EC:2.2.1.1]								Transketolase, thiamine diphosphate binding domain [PF00456.25]; Transketolase, pyrimidine binding domain [PF02779.28]; Transketolase, C-terminal domain [PF02780.24]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_4_34	final_contigs_AG-910-A04	AG-910-A04_NODE_4	34	34488	37439	-1	C	K06381	stage II sporulation protein D (peptidoglycan lytic transglycosylase) [EC:4.2.2.29]								Putative peptidoglycan binding domain [PF01471.22]; Stage II sporulation protein [PF08486.14]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_4_35	final_contigs_AG-910-A04	AG-910-A04_NODE_4	35	37477	37821	-1	E															0
final_contigs_AG-910-A04_AG-910-A04_NODE_4_36	final_contigs_AG-910-A04	AG-910-A04_NODE_4	36	37844	38497	1	E															0
final_contigs_AG-910-A04_AG-910-A04_NODE_4_37	final_contigs_AG-910-A04	AG-910-A04_NODE_4	37	38514	39056	1	C	K00798	cob(I)alamin adenosyltransferase [EC:2.5.1.17]								Cobalamin adenosyltransferase [PF01923.22]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_4_38	final_contigs_AG-910-A04	AG-910-A04_NODE_4	38	39053	40393	1	C	K01255	leucyl aminopeptidase [EC:3.4.11.1]	MER0339935	M17	MER0339935 - family M17 unassigned peptidases (Dermacoccus sp. Ellin185) [M17.UPW]#M17#{peptidase unit: 124-491}~source ZP_07706419~	False	0.475	272.0	7.597e-78	Cytosol aminopeptidase family, catalytic domain [PF00883.25]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_4_39	final_contigs_AG-910-A04	AG-910-A04_NODE_4	39	40390	43350	-1	D			MER0005798	SPE	MER0005798 - penicillin-binding protein 2 (Streptomyces coelicolor) [X52.001]#SPE#{peptidase unit: 20-330}~source CAB41728~	False	0.335	122.0	3.5060000000000003e-26	Transglycosylase [PF00912.26]; Penicillin binding protein transpeptidase domain [PF00905.26]	GT51	GT51 murein polymerase (EC 2.4.1.129).	2.4.1.129	GT51.hmm	0
final_contigs_AG-910-A04_AG-910-A04_NODE_4_40	final_contigs_AG-910-A04	AG-910-A04_NODE_4	40	43427	44476	1	D										Citrate synthase, C-terminal domain [PF00285.25]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_4_41	final_contigs_AG-910-A04	AG-910-A04_NODE_4	41	44480	45859	1	C	K01720	2-methylcitrate dehydratase [EC:4.2.1.79]								MmgE/PrpD C-terminal domain [PF19305.3]; MmgE/PrpD N-terminal domain [PF03972.18]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_4_42	final_contigs_AG-910-A04	AG-910-A04_NODE_4	42	45852	46715	1	D										Nucleotidyl transferase [PF00483.27]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_4_43	final_contigs_AG-910-A04	AG-910-A04_NODE_4	43	46712	47647	1	D										GDP-mannose 4,6 dehydratase [PF16363.9]; NAD dependent epimerase/dehydratase family [PF01370.25]; 3-beta hydroxysteroid dehydrogenase/isomerase family [PF01073.23]; RmlD substrate binding domain [PF04321.21]; Polysaccharide biosynthesis protein [PF02719.19]; NmrA-like family [PF05368.17]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_4_44	final_contigs_AG-910-A04	AG-910-A04_NODE_4	44	47640	48785	1	E															0
final_contigs_AG-910-A04_AG-910-A04_NODE_4_45	final_contigs_AG-910-A04	AG-910-A04_NODE_4	45	48813	49511	-1	C	K12234	coenzyme F420-0:L-glutamate ligase / coenzyme F420-1:gamma-L-glutamate ligase [EC:6.3.2.31 6.3.2.34]								F420-0:Gamma-glutamyl ligase [PF01996.20]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_4_46	final_contigs_AG-910-A04	AG-910-A04_NODE_4	46	49504	50400	-1	C	K11212	LPPG:FO 2-phospho-L-lactate transferase [EC:2.7.8.28]								2-phospho-L-lactate transferase CofD [PF01933.22]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_4_47	final_contigs_AG-910-A04	AG-910-A04_NODE_4	47	50441	50695	1	D										Family of unknown function (DUF6788) [PF20586.2]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_4_48	final_contigs_AG-910-A04	AG-910-A04_NODE_4	48	50682	52880	1	E															0
final_contigs_AG-910-A04_AG-910-A04_NODE_4_49	final_contigs_AG-910-A04	AG-910-A04_NODE_4	49	52864	53334	1	D										GtrA-like protein [PF04138.18]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_4_50	final_contigs_AG-910-A04	AG-910-A04_NODE_4	50	53295	54035	-1	D										Glycosyl transferase family 2 [PF00535.30]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_4_51	final_contigs_AG-910-A04	AG-910-A04_NODE_4	51	54051	55388	1	D										Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain I [PF02878.20]; Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain II [PF02879.20]; Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain III [PF02880.20]; Phosphoglucomutase/phosphomannomutase, C-terminal domain [PF00408.24]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_4_52	final_contigs_AG-910-A04	AG-910-A04_NODE_4	52	55392	56387	1	C	K15916	glucose/mannose-6-phosphate isomerase [EC:5.3.1.9 5.3.1.8]								Bacterial phospho-glucose isomerase C-terminal SIS domain [PF10432.13]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_4_53	final_contigs_AG-910-A04	AG-910-A04_NODE_4	53	56387	57631	1	C	K01251	adenosylhomocysteinase [EC:3.13.2.1]								S-adenosyl-L-homocysteine hydrolase, NAD binding domain [PF00670.25]; S-adenosyl-L-homocysteine hydrolase [PF05221.21]; D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain [PF02826.23]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_4_54	final_contigs_AG-910-A04	AG-910-A04_NODE_4	54	57610	59580	1	C	K03070	preprotein translocase subunit SecA [EC:7.4.2.8]								SecA DEAD-like domain [PF07517.18]; SecA P-loop domain [PF21090.1]; SecA preprotein cross-linking domain [PF01043.24]; SecA Wing and Scaffold domain [PF07516.17]; DEAD/DEAH box helicase [PF00270.33]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_5_1	final_contigs_AG-910-A04	AG-910-A04_NODE_5	1	2	1276	1	D										Aconitase family (aconitate hydratase) [PF00330.24]; Aconitase C-terminal domain [PF00694.23]; Aconitase X [PF04412.17]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_5_2	final_contigs_AG-910-A04	AG-910-A04_NODE_5	2	1277	1927	1	C	K00275	pyridoxamine 5'-phosphate oxidase [EC:1.4.3.5]								Pyridoxamine 5'-phosphate oxidase [PF01243.24]; Pyridoxine 5'-phosphate oxidase C-terminal dimerisation region [PF10590.13]; Pyridoxamine 5'-phosphate oxidase [PF12766.11]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_5_3	final_contigs_AG-910-A04	AG-910-A04_NODE_5	3	1939	2607	1	C	K00989	ribonuclease PH [EC:2.7.7.56]													0
final_contigs_AG-910-A04_AG-910-A04_NODE_5_4	final_contigs_AG-910-A04	AG-910-A04_NODE_5	4	2604	3170	1	C	K01519	XTP/dITP diphosphohydrolase [EC:3.6.1.66]								Ham1 family [PF01725.20]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_5_5	final_contigs_AG-910-A04	AG-910-A04_NODE_5	5	3157	3834	1	E															0
final_contigs_AG-910-A04_AG-910-A04_NODE_5_6	final_contigs_AG-910-A04	AG-910-A04_NODE_5	6	3932	5494	1	C	K01649	2-isopropylmalate synthase [EC:2.3.3.13]								HMGL-like [PF00682.23]; LeuA allosteric (dimerisation) domain [PF08502.14]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_5_7	final_contigs_AG-910-A04	AG-910-A04_NODE_5	7	5526	7472	1	C	K01895	acetyl-CoA synthetase [EC:6.2.1.1]								AMP-binding enzyme [PF00501.32]; AMP-binding enzyme C-terminal domain [PF13193.10]; Acetyl-coenzyme A synthetase N-terminus [PF16177.9]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_5_8	final_contigs_AG-910-A04	AG-910-A04_NODE_5	8	7465	7953	1	D										Thioesterase superfamily [PF03061.26]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_5_9	final_contigs_AG-910-A04	AG-910-A04_NODE_5	9	8492	9868	1	C	K03545	trigger factor								Bacterial trigger factor protein (TF) [PF05697.17]; Bacterial trigger factor protein (TF) C-terminus [PF05698.18]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_5_10	final_contigs_AG-910-A04	AG-910-A04_NODE_5	10	9870	10487	1	C	K01358	ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]	MER1016021	S14	MER1016021 - family S14 unassigned peptidases (Actinomarina minuta) [S14.UPW]#S14#{peptidase unit: 7-198}~source S5DLX8~	True	0.944	383.0	2.753e-120	Clp protease [PF00574.27]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_5_11	final_contigs_AG-910-A04	AG-910-A04_NODE_5	11	10503	11771	1	C	K03544	ATP-dependent Clp protease ATP-binding subunit ClpX								AAA domain (Cdc48 subfamily) [PF07724.18]; ClpX C4-type zinc finger [PF06689.17]; ATPase family associated with various cellular activities (AAA) [PF00004.33]; C-terminal, D2-small domain, of ClpB protein [PF10431.13]; AAA domain (dynein-related subfamily) [PF07728.18]; Sigma-54 interaction domain [PF14532.10]; Holliday junction DNA helicase RuvB P-loop domain [PF05496.16]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_5_12	final_contigs_AG-910-A04	AG-910-A04_NODE_5	12	11776	14373	1	C	K01873	valyl-tRNA synthetase [EC:6.1.1.9]								tRNA synthetases class I (I, L, M and V) [PF00133.26]; Anticodon-binding domain of tRNA ligase [PF08264.17]; tRNA synthetases class I (M) [PF09334.15]; Leucyl-tRNA synthetase, editing domain [PF13603.10]; Valyl tRNA synthetase tRNA binding arm [PF10458.13]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_5_13	final_contigs_AG-910-A04	AG-910-A04_NODE_5	13	14366	15520	1	D										Mur ligase middle domain [PF08245.16]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_5_14	final_contigs_AG-910-A04	AG-910-A04_NODE_5	14	15517	15915	1	C	K00940	nucleoside-diphosphate kinase [EC:2.7.4.6]								Nucleoside diphosphate kinase [PF00334.23]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_5_15	final_contigs_AG-910-A04	AG-910-A04_NODE_5	15	15960	17003	1	C	K03569	rod shape-determining protein MreB and related proteins								MreB/Mbl protein [PF06723.17]; Hsp70 protein [PF00012.24]; Cell division protein FtsA [PF14450.10]; Type IV pilus assembly protein PilM; [PF11104.12]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_5_16	final_contigs_AG-910-A04	AG-910-A04_NODE_5	16	17006	17809	1	E															0
final_contigs_AG-910-A04_AG-910-A04_NODE_5_17	final_contigs_AG-910-A04	AG-910-A04_NODE_5	17	17796	18266	1	E															0
final_contigs_AG-910-A04_AG-910-A04_NODE_5_18	final_contigs_AG-910-A04	AG-910-A04_NODE_5	18	18244	20082	1	D			MER0001762	SPE	MER0001762 - penicillin-binding protein 2 (Escherichia coli) [X52.001]#SPE#{peptidase unit: 194-421}~source PBP2_ECOLI~	False	0.317	122.0	1.059e-26	Penicillin binding protein transpeptidase domain [PF00905.26]; Penicillin-binding Protein dimerisation domain [PF03717.19]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_5_19	final_contigs_AG-910-A04	AG-910-A04_NODE_5	19	20079	21179	1	D										Cell cycle protein [PF01098.23]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_5_20	final_contigs_AG-910-A04	AG-910-A04_NODE_5	20	21252	22721	1	D										Ribonuclease E/G family [PF10150.13]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_5_21	final_contigs_AG-910-A04	AG-910-A04_NODE_5	21	22729	23055	1	C	K02888	large subunit ribosomal protein L21								Ribosomal prokaryotic L21 protein [PF00829.25]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_5_22	final_contigs_AG-910-A04	AG-910-A04_NODE_5	22	23056	23304	1	C	K02899	large subunit ribosomal protein L27								Ribosomal L27 protein [PF01016.23]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_5_23	final_contigs_AG-910-A04	AG-910-A04_NODE_5	23	23309	24502	1	C	K03979	GTPase [EC:3.6.5.-]								GTP1/OBG [PF01018.26]; 50S ribosome-binding GTPase [PF01926.27]; Ferrous iron transport protein B [PF02421.22]; MnmE helical domain [PF12631.11]; ADP-ribosylation factor family [PF00025.25]; Domain of unknown function (DUF1967) [PF09269.15]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_5_24	final_contigs_AG-910-A04	AG-910-A04_NODE_5	24	24495	25553	1	C	K00931	glutamate 5-kinase [EC:2.7.2.11]								Amino acid kinase family [PF00696.32]; PUA domain [PF01472.24]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_5_25	final_contigs_AG-910-A04	AG-910-A04_NODE_5	25	25593	26834	1	C	K00147	glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]								Aldehyde dehydrogenase family [PF00171.26]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_5_26	final_contigs_AG-910-A04	AG-910-A04_NODE_5	26	26831	27661	1	D										AAA domain (dynein-related subfamily) [PF07728.18]; ATPase family associated with various cellular activities (AAA) [PF00004.33]; ATPase family associated with various cellular activities (AAA) [PF07726.15]					0
final_contigs_AG-910-A04_AG-910-A04_NODE_5_27	final_contigs_AG-910-A04	AG-910-A04_NODE_5	27	27636	29003	1	C	K07161	uncharacterized protein								VWA domain containing CoxE-like protein [PF05762.18]					0
